"specification","term","legacy_estimate","legacy_std_error","legacy_conf_low","legacy_conf_high","legacy_p_value","legacy_nobs","market","group","legacy_fit_status","legacy_reason","refined_estimate","refined_std_error","refined_conf_low","refined_conf_high","refined_p_value","refined_nobs","refined_fit_status","refined_reason"
"did_trends_prior_extensive_salience_groups","near_bin",0.0530662892235668,0.0291481687160172,-0.00408836507647849,0.110220943523612,0.068781437998824,193843,"sales","bathing","available",NA,0.0530662892235668,0.0291481687160172,-0.00408836507647849,0.110220943523612,0.068781437998824,193843,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin:post",-0.00938162095315532,0.00870715525650342,-0.0264548873209601,0.00769164541464946,0.281369350372851,193843,"sales","bathing","available",NA,-0.00938162095315532,0.00870715525650342,-0.0264548873209601,0.00769164541464946,0.281369350372851,193843,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin",0.017151435673284,0.0182716220403654,-0.0186681581015281,0.0529710294480961,0.347929781696473,405237,"sales","coastal","available",NA,0.0766249721567644,0.0314680329451474,0.0149124134995411,0.138337530813988,0.014975942935229,156294,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin:post",-0.0133853053486988,0.00544246285279283,-0.0240546815042952,-0.00271592919310237,0.0139466691009186,405237,"sales","coastal","available",NA,-0.0151392240009397,0.0105425851999849,-0.0358144885999991,0.00553604059811961,0.151152607539265,156294,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin",-0.0753201345472279,0.00654602913276073,-0.0881509264701686,-0.0624893426242873,1.54629491845835e-30,1351330,"sales","inland","available",NA,-0.0707522404366345,0.00627692887882946,-0.08305546500078,-0.058449015872489,2.17326093169512e-29,1600327,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin:post",0.00217822404334957,0.00245054202226189,-0.00262505350833526,0.00698150159503439,0.374081750571559,1351330,"sales","inland","available",NA,6.05570564006225e-05,0.00222168332115256,-0.00429409939075888,0.00441521350356013,0.978254770220158,1600327,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin",-0.0117473157889146,0.0172976000246537,-0.045668917909922,0.0221742863320928,0.497128077025337,41966,"rentals","bathing","available",NA,-0.0117473157889146,0.0172976000246537,-0.045668917909922,0.0221742863320928,0.497128077025337,41966,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin:post",-0.000956385088980222,0.00507475659533648,-0.0109082786373691,0.00899550845940863,0.850534245835686,41966,"rentals","bathing","available",NA,-0.000956385088980222,0.00507475659533648,-0.0109082786373691,0.00899550845940863,0.850534245835686,41966,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin",0.0130754669837346,0.0128915993943304,-0.0121982987250305,0.0383492326924997,0.310511176146444,96700,"rentals","coastal","available",NA,0.0287231037719312,0.0279902391851377,-0.0261771266106987,0.083623334154561,0.304956176596458,33248,"available",NA
"did_trends_prior_extensive_salience_groups","near_bin:post",-0.00318089079860087,0.00356638901786104,-0.0101727370161752,0.00381095541897349,0.372489228950853,96700,"rentals","coastal","available",NA,-0.00276155775168861,0.00543553857663488,-0.0134228571474214,0.00789974164404423,0.61148217729678,33248,"available",NA
